Epoch	AverageEpReturns	StdEpReturns	MaxEpReturns	MinEpReturns	EpSteps
0	79.634094	44.743797	130.05275	21.311617	185.66667
1	312.10355	0.0	312.10355	312.10355	618.0
2	462.07016	0.0	462.07016	462.07016	1000.0
3	452.62146	0.0	452.62146	452.62146	1000.0
4	477.70007	0.0	477.70007	477.70007	1000.0
5	3.346781	0.0	3.346781	3.346781	21.0
6	445.1088	0.0	445.1088	445.1088	1000.0
7	399.85873	0.0	399.85873	399.85873	1000.0
8	164.81364	0.0	164.81364	164.81364	327.0
9	522.88574	0.0	522.88574	522.88574	1000.0
10	480.21982	0.0	480.21982	480.21982	1000.0
11	412.16968	0.0	412.16968	412.16968	1000.0
12	500.40195	0.0	500.40195	500.40195	1000.0
13	326.3018	0.0	326.3018	326.3018	1000.0
14	148.9523	0.0	148.9523	148.9523	308.0
15	428.96625	0.0	428.96625	428.96625	1000.0
16	407.30542	0.0	407.30542	407.30542	1000.0
17	517.0352	0.0	517.0352	517.0352	1000.0
18	443.49014	0.0	443.49014	443.49014	1000.0
19	120.22223	86.21073	249.60045	16.435646	243.0
20	542.77185	0.0	542.77185	542.77185	1000.0
21	470.69138	0.0	470.69138	470.69138	1000.0
22	530.35657	0.0	530.35657	530.35657	1000.0
23	508.80115	0.0	508.80115	508.80115	1000.0
24	363.14285	0.0	363.14285	363.14285	1000.0
25	486.50372	0.0	486.50372	486.50372	1000.0
26	571.93243	0.0	571.93243	571.93243	1000.0
27	511.0115	0.0	511.0115	511.0115	1000.0
28	449.37512	0.0	449.37512	449.37512	1000.0
29	514.9023	0.0	514.9023	514.9023	1000.0
30	531.92645	0.0	531.92645	531.92645	1000.0
31	492.1219	0.0	492.1219	492.1219	1000.0
32	556.42773	0.0	556.42773	556.42773	1000.0
33	503.8718	0.0	503.8718	503.8718	1000.0
34	434.02747	0.0	434.02747	434.02747	798.0
35	532.3262	0.0	532.3262	532.3262	1000.0
36	614.47974	0.0	614.47974	614.47974	1000.0
37	595.1701	0.0	595.1701	595.1701	1000.0
38	275.33624	0.0	275.33624	275.33624	445.0
39	162.63937	0.0	162.63937	162.63937	288.0
40	551.0119	0.0	551.0119	551.0119	1000.0
41	561.0507	0.0	561.0507	561.0507	1000.0
42	187.50238	52.437927	239.9403	135.06445	291.0
43	447.13474	0.0	447.13474	447.13474	1000.0
44	175.13622	0.0	175.13622	175.13622	238.0
45	550.96875	0.0	550.96875	550.96875	1000.0
46	564.94464	0.0	564.94464	564.94464	1000.0
47	534.97754	0.0	534.97754	534.97754	1000.0
48	586.8669	0.0	586.8669	586.8669	1000.0
49	529.5319	0.0	529.5319	529.5319	1000.0
50	574.55133	0.0	574.55133	574.55133	1000.0
51	596.51166	0.0	596.51166	596.51166	1000.0
52	590.10046	0.0	590.10046	590.10046	1000.0
53	539.62897	0.0	539.62897	539.62897	1000.0
54	583.28143	0.0	583.28143	583.28143	1000.0
55	623.62085	0.0	623.62085	623.62085	1000.0
56	583.6803	0.0	583.6803	583.6803	1000.0
57	610.695	0.0	610.695	610.695	1000.0
58	564.3171	0.0	564.3171	564.3171	1000.0
59	606.3094	0.0	606.3094	606.3094	1000.0
60	617.1689	0.0	617.1689	617.1689	1000.0
61	680.27014	0.0	680.27014	680.27014	1000.0
62	621.6511	0.0	621.6511	621.6511	1000.0
63	540.8388	0.0	540.8388	540.8388	1000.0
64	615.4409	0.0	615.4409	615.4409	984.0
65	684.7109	0.0	684.7109	684.7109	1000.0
66	656.4768	0.0	656.4768	656.4768	1000.0
67	579.921	0.0	579.921	579.921	1000.0
68	680.90515	0.0	680.90515	680.90515	1000.0
69	609.6202	0.0	609.6202	609.6202	1000.0
70	689.91736	0.0	689.91736	689.91736	1000.0
71	703.9782	0.0	703.9782	703.9782	1000.0
72	645.3948	0.0	645.3948	645.3948	1000.0
73	664.2006	0.0	664.2006	664.2006	1000.0
74	612.88226	0.0	612.88226	612.88226	1000.0
75	619.13586	0.0	619.13586	619.13586	1000.0
76	673.29224	0.0	673.29224	673.29224	1000.0
77	703.66003	0.0	703.66003	703.66003	1000.0
78	619.2398	0.0	619.2398	619.2398	1000.0
79	718.7018	0.0	718.7018	718.7018	1000.0
80	654.3169	0.0	654.3169	654.3169	1000.0
81	751.0565	0.0	751.0565	751.0565	1000.0
82	644.66113	0.0	644.66113	644.66113	1000.0
83	683.2215	0.0	683.2215	683.2215	1000.0
84	625.0137	0.0	625.0137	625.0137	1000.0
85	682.33105	0.0	682.33105	682.33105	1000.0
86	687.7372	0.0	687.7372	687.7372	1000.0
87	700.4346	0.0	700.4346	700.4346	1000.0
88	716.7444	0.0	716.7444	716.7444	1000.0
89	659.45044	0.0	659.45044	659.45044	1000.0
90	749.9007	0.0	749.9007	749.9007	1000.0
91	708.8611	0.0	708.8611	708.8611	1000.0
92	725.0193	0.0	725.0193	725.0193	1000.0
93	750.67017	0.0	750.67017	750.67017	1000.0
94	693.7826	0.0	693.7826	693.7826	1000.0
95	699.2672	0.0	699.2672	699.2672	1000.0
96	689.21954	0.0	689.21954	689.21954	1000.0
97	755.24365	0.0	755.24365	755.24365	1000.0
98	751.50305	0.0	751.50305	751.50305	1000.0
99	712.257	0.0	712.257	712.257	1000.0
100	728.3436	0.0	728.3436	728.3436	1000.0
101	723.67017	0.0	723.67017	723.67017	1000.0
102	750.71405	0.0	750.71405	750.71405	1000.0
103	705.12897	0.0	705.12897	705.12897	1000.0
104	767.46313	0.0	767.46313	767.46313	1000.0
105	769.8359	0.0	769.8359	769.8359	1000.0
106	717.3196	0.0	717.3196	717.3196	1000.0
107	734.1756	0.0	734.1756	734.1756	1000.0
108	747.81995	0.0	747.81995	747.81995	1000.0
109	762.1331	0.0	762.1331	762.1331	1000.0
110	802.1001	0.0	802.1001	802.1001	1000.0
111	695.5763	0.0	695.5763	695.5763	1000.0
112	731.76355	0.0	731.76355	731.76355	1000.0
113	763.4677	0.0	763.4677	763.4677	1000.0
114	798.7075	0.0	798.7075	798.7075	1000.0
115	795.5167	0.0	795.5167	795.5167	1000.0
