Epoch	AverageEpReturns	StdEpReturns	EpLength
0	28.949604	0.0	83.0
1	14.834351	12.984974	50.5
2	444.78906	0.0	1000.0
3	103.023605	0.0	250.0
4	57.69128	4.6886854	129.0
5	535.12317	0.0	1000.0
6	133.15828	91.281364	299.0
7	447.40854	0.0	1000.0
8	17.18918	10.235688	47.333332
9	77.01912	40.490337	176.0
10	114.84013	97.95094	247.0
11	477.38788	0.0	1000.0
12	432.8928	0.0	1000.0
13	420.03137	0.0	1000.0
14	67.25807	0.0	154.0
15	36.035587	23.98591	87.333336
16	499.27112	0.0	1000.0
17	193.21637	0.0	427.0
18	471.22272	0.0	1000.0
19	462.71606	0.0	1000.0
20	443.80823	0.0	1000.0
21	159.71419	121.24886	324.0
22	90.5584	24.08104	173.5
23	469.85568	0.0	1000.0
24	413.28012	0.0	1000.0
25	241.74107	0.0	490.0
26	137.36325	14.030663	240.0
27	215.37604	43.476044	432.0
28	87.45304	20.678951	198.33333
29	79.04735	69.46413	186.66667
30	407.84906	0.0	1000.0
31	413.96704	0.0	1000.0
32	350.1913	0.0	1000.0
33	147.04776	141.20053	300.0
34	470.62924	0.0	1000.0
35	468.7272	0.0	1000.0
36	107.76442	101.822586	225.75
37	416.4288	0.0	1000.0
38	418.7485	0.0	1000.0
39	106.78634	0.0	206.0
40	445.21912	0.0	893.0
41	349.60788	0.0	934.0
42	476.00427	0.0	1000.0
43	96.87276	0.0	200.0
44	398.1614	0.0	1000.0
45	87.94577	33.07822	200.5
46	381.07245	0.0	1000.0
47	479.448	0.0	983.0
48	419.13162	0.0	754.0
49	22.563114	2.1291056	55.5
50	147.13269	169.66205	330.33334
51	106.79786	1.1328812	234.0
52	451.99652	0.0	1000.0
53	230.80557	0.0	521.0
54	369.0772	0.0	1000.0
55	425.70972	0.0	1000.0
56	22.597643	18.486765	52.5
57	480.56366	0.0	1000.0
58	425.32895	0.0	1000.0
59	247.50821	79.18698	495.0
60	502.1641	0.0	1000.0
61	122.93149	0.0	243.0
62	132.65784	19.025211	308.5
63	284.8866	0.0	639.0
64	44.014454	33.378017	107.333336
65	100.30982	0.0	217.0
66	487.41928	0.0	1000.0
67	156.07869	0.0	341.0
68	372.20053	0.0	675.0
69	471.72278	0.0	1000.0
70	172.22847	166.78748	346.5
71	385.79547	0.0	1000.0
72	500.94925	0.0	1000.0
73	439.52994	0.0	1000.0
74	211.10124	0.0	328.0
75	181.29694	46.317223	363.0
76	289.37872	0.0	545.0
77	488.74152	0.0	1000.0
78	4.49595	0.0	21.0
79	398.43558	0.0	1000.0
80	307.93484	0.0	751.0
81	417.08426	0.0	751.0
82	96.30899	75.35866	206.75
83	92.453606	55.96961	203.0
84	161.94603	0.0	326.0
85	486.80658	0.0	1000.0
86	107.07946	0.0	245.0
87	427.30743	0.0	1000.0
88	262.49185	0.0	597.0
89	425.9841	0.0	1000.0
90	434.34967	0.0	1000.0
91	503.65076	0.0	1000.0
92	28.229534	0.0	70.0
93	460.88416	0.0	1000.0
94	583.55774	0.0	1000.0
95	451.8496	0.0	1000.0
96	70.97237	0.0	162.0
97	435.1626	0.0	772.0
98	420.59903	0.0	1000.0
99	466.15094	0.0	1000.0
100	405.19754	0.0	689.0
101	175.26344	84.101814	359.5
102	231.54881	0.0	501.0
103	105.37303	101.41722	232.0
104	457.07172	0.0	1000.0
105	433.22983	0.0	1000.0
106	453.0903	0.0	1000.0
107	89.88543	30.116934	171.5
108	230.01294	98.436485	464.5
109	235.81387	0.0	474.0
110	407.63028	0.0	1000.0
111	96.86031	83.077774	192.25
112	520.5472	0.0	1000.0
113	151.36348	0.0	320.0
114	470.45593	0.0	1000.0
115	531.2142	0.0	1000.0
116	440.59763	0.0	1000.0
117	524.88727	0.0	1000.0
118	426.24393	0.0	1000.0
119	322.7053	0.0	585.0
120	142.25618	61.639553	285.66666
121	464.55505	0.0	1000.0
122	280.7949	0.0	502.0
123	504.4783	0.0	1000.0
124	565.24255	0.0	1000.0
125	78.38882	0.0	174.0
126	212.67172	95.92687	407.0
127	502.7998	0.0	1000.0
128	461.77597	0.0	1000.0
129	292.2457	0.0	557.0
130	501.20667	0.0	1000.0
131	347.65778	0.0	1000.0
132	224.17755	0.0	432.0
133	511.99542	0.0	987.0
134	454.53262	0.0	1000.0
135	456.69833	0.0	1000.0
136	72.75861	77.611626	159.25
137	399.72055	0.0	1000.0
138	527.17896	0.0	1000.0
139	428.80563	0.0	1000.0
140	445.15814	0.0	1000.0
141	438.52472	0.0	778.0
142	155.90323	29.464483	325.33334
143	83.836105	58.524742	187.66667
144	424.3132	0.0	1000.0
145	505.83487	0.0	1000.0
146	173.59837	157.25812	326.0
147	587.45044	0.0	1000.0
148	213.33153	0.0	424.0
149	422.7661	0.0	1000.0
150	66.86508	19.58236	170.0
151	312.00168	0.0	588.0
152	262.16394	0.0	516.0
153	229.0442	0.0	467.0
154	5.694005	0.0	21.0
155	196.50684	113.347404	399.5
156	468.35934	0.0	1000.0
157	483.90384	0.0	1000.0
158	515.7787	0.0	1000.0
159	214.92445	0.0	598.0
160	447.1242	0.0	1000.0
161	456.93076	0.0	950.0
162	501.21896	0.0	1000.0
163	409.29337	0.0	1000.0
164	426.46722	0.0	1000.0
165	80.56068	0.0	176.0
166	479.87283	0.0	1000.0
167	189.19304	0.0	363.0
168	437.72342	0.0	1000.0
169	419.43585	0.0	1000.0
170	63.92832	10.422759	144.75
171	90.32286	43.733795	196.5
172	338.11792	0.0	612.0
173	494.01596	0.0	1000.0
174	483.08453	0.0	917.0
175	113.94072	0.0	250.0
176	436.3007	0.0	1000.0
177	567.1912	0.0	1000.0
178	258.44092	30.199081	491.0
179	511.1396	0.0	905.0
180	36.173862	0.0	102.0
181	138.91057	12.503407	323.5
182	169.14125	52.968994	359.5
183	472.644	0.0	1000.0
184	604.75006	0.0	1000.0
185	331.9116	0.0	663.0
186	490.32083	0.0	1000.0
187	174.47684	35.53904	353.5
188	147.37686	0.0	245.0
189	421.789	0.0	1000.0
190	46.044052	0.0	117.0
191	317.52957	0.0	593.0
192	262.82504	0.0	558.0
193	521.83014	0.0	1000.0
194	501.21948	0.0	1000.0
195	506.66992	0.0	1000.0
196	473.2711	0.0	1000.0
